T1		T2		T3		T4		T5		T6		T7		T8	
199.1	Building Blocks	99.6	Building Area	149.4	Building Area	414.9	Building Area	929.4	Building Area	464.7	Building Area	199.1	Building Area	348.4	Building Area
265.5	Building Blocks	348.6	Building Area	398.3	Building Area	298.6	Building Blocks	199.1	Building Blocks	116.2	Building Area	132.9	Building Blocks	199.1	Building Blocks
165.9	Building Blocks	564.4	Building Area	215.7	Building Blocks	166	Building Area	249.1	Building Area	99.6	Building Area	82.9	Building Blocks	249	Building Blocks
381.8	Building Blocks	514.4	Building Area	182.5	Building Blocks	697	Building Area	265.5	Building Area	99.5	Building Blocks	1294.3	Building Area	149.7	Building Area
99.5	Building Area	166	Building Area	846.5	Building Area	647.1	Building Area	431.7	Building Blocks	232.1	Building Blocks	580.8	Building Area	547.5	Building Area
99.6	Building Blocks	116	Building Blocks	99.6	Building Area	298.6	Building Blocks	199.4	Building Area	530.9	Building Area	431.5	Building Blocks	83.1	Building Blocks
166	Building Blocks	116.2	Building Blocks	165.9	Building Blocks	99.6	Building Area	912.8	Building Area	381.8	Building Blocks	614.2	Building Area	348.5	Building Blocks
331.6	Building Blocks	348.5	Building Blocks	315.2	Building Blocks	298.7	Building Area	116.2	Building Blocks	746.9	Building Area	132.7	Building Blocks	514.5	Building Area
133	Building Area	348.5	Building Area	99.2	Building Area	614	Building Area	248.9	Building Blocks	448.1	Building Blocks	298.6	Building Blocks	82.8	Building Blocks
199.1	Building Area	199	Building Blocks	265.5	Building Blocks	182.6	Building Blocks	979.1	Building Area	863	Building Area	597.3	Building Area	514.4	Building Blocks
249.1	Building Area	298.8	Building Blocks	215.7	Building Area	216	Building Blocks	332	Building Area	199.1	Building Area	331.9	Building Blocks	315.3	Building Area
331.9	Building Area	796.6	Building Area	1045.5	Building Area	99.6	Building Area	381.3	Building Blocks	365.1	Building Blocks	2638.7	Building Area	132.9	Building Area
149.3	Building Blocks	182.6	Building Blocks	99.6	Building Blocks	564.4	Building Area	182.5	Building Blocks	2157.2	Building Area	431.5	Building Blocks	1012.4	Building Area
448	Building Blocks	116.2	Building Blocks	215.8	Building Blocks	265.7	Building Area	166	Building Area	265.6	Building Blocks	166	Building Area	398.7	Building Blocks
331.9	Building Blocks	248.8	Building Blocks	166	Building Blocks	149.2	Building Area	929.4	Building Area	149.3	Building Blocks	464.9	Building Area	215.5	Building Area
132.7	Building Blocks	99.5	Building Blocks	298.7	Building Area	116.2	Building Blocks	364.8	Building Area	696.9	Building Area	448.1	Building Area	348.5	Building Area
