T1		T2		T3		T4		T5		T6		T7		T8	
398.6	Computer	83	Computer	166	Computer	829.7	Building Blocks	365	Computer	232.2	Building Blocks	232.5	Building Area	115.6	Building Blocks
563.8	Computer	564.2	Computer	315	Building Area	747.2	Building Blocks	315.3	Computer	431.4	Building Blocks	215.7	Building Blocks	182.8	Building Blocks
265.7	Building Area	232.3	Computer	248.9	Building Area	99.3	Building Area	133.2	Computer	99.3	Computer	66.7	Computer	116	Computer
232.5	Building Area	116.1	Computer	99.7	Computer	83.3	Building Area	1078.7	Building Blocks	497.9	Building Area	132.9	Computer	398.2	Computer
2257	Building Area	165.9	Building Blocks	99.8	Computer	431.9	Building Area	183	Building Blocks	199.6	Building Area	282.2	Computer	132.4	Computer
149.7	Building Area	83	Building Blocks	99	Building Area	149.3	Building Area	116.1	Building Blocks	116.8	Building Area	199.2	Building Blocks	149.2	Building Blocks
232.3	Building Area	132.7	Building Blocks	232.3	Building Area	282.7	Computer	149.5	Computer	199.1	Building Area	116.3	Building Blocks	630.4	Building Blocks
730.1	Building Area	116.4	Building Blocks	215.5	Building Area	166.4	Building Area	265.5	Computer	465.1	Building Area	580.6	Building Blocks	182.6	Building Blocks
331.8	Building Area	315.6	Building Blocks	746.8	Building Area	498.3	Building Area	149.2	Computer	348.5	Building Area	82.9	Building Area	199.3	Building Area
248.8	Building Area	132.5	Building Blocks	182.6	Building Area	846.4	Building Area	149.5	Building Blocks	166.1	Building Area	481.3	Building Area	497.7	Building Area
398.2	Building Area	730.3	Building Blocks	132.7	Building Area	232.4	Computer	82.9	Building Blocks	232.6	Building Area	83.1	Computer	83	Building Area
232.7	Building Area	132.7	Computer	315.4	Building Area	133	Computer	182.5	Building Blocks	348.4	Building Area	132.9	Computer	132.8	Building Area
1095	Building Area	232.4	Computer	332.1	Building Area	232.5	Computer	547.8	Building Blocks	116.2	Computer	282.2	Computer	99.4	Building Area
531.5	Building Area	99.9	Computer	99.5	Computer	232.5	Computer	99.8	Building Blocks	365.1	Computer	398.3	Building Blocks	116.3	Building Blocks
149	Building Area	133	Building Area	498.1	Computer	149.2	Computer	116.2	Computer	232.4	Computer	597.2	Building Blocks	99.5	Building Blocks
166.4	Computer	182.8	Building Area	299	Computer	813.5	Building Blocks	199.6	Building Area	166	Building Blocks	166.1	Building Blocks	514.5	Building Blocks
182.8	Computer	364.7	Building Area	165.9	Computer	298.7	Building Blocks	149.3	Building Area	249.1	Building Blocks	133	Computer	215.7	Building Blocks
182.2	Computer	149.2	Building Area	82.7	Building Blocks	99.6	Building Blocks	116.5	Computer	331.7	Building Blocks	746.9	Building Area	547.8	Building Area
564	Computer	249	Building Area	116.1	Building Blocks	116.1	Building Blocks	149.1	Computer	165.8	Building Blocks	697.2	Building Area	1028.9	Building Area
216	Computer	331.7	Building Area	663.3	Building Blocks	132.8	Building Blocks	99.5	Computer	83	Building Blocks	1211.7	Building Area	730.2	Building Area
646.9	Computer	115.4	Building Area	132.8	Building Blocks	99.6	Computer	282.1	Computer	166.1	Building Blocks	116.5	Computer	613.9	Building Area
116.1	Computer	99.6	Computer	315.4	Building Blocks	249	Computer	83	Building Blocks	248.9	Computer	265.5	Computer	298.8	Computer
166.1	Building Blocks	215.6	Computer	182.2	Building Area	248.8	Computer	82.9	Building Blocks	133.2	Computer	166.1	Computer	165.5	Computer
116.5	Building Blocks	1045.2	Building Area	265.5	Building Area	198.9	Building Blocks	83	Building Blocks	182.4	Building Blocks	133	Computer	99.2	Computer
166	Building Blocks	165.8	Building Area	132.7	Computer	265.2	Building Blocks	248.9	Building Blocks	99.2	Building Blocks	82.9	Building Blocks	281.8	Computer
83.1	Building Blocks	132.4	Computer	331.8	Computer	116.1	Building Blocks	414.8	Building Blocks	431.5	Building Blocks	82.8	Building Blocks	83.1	Computer
166.1	Building Blocks	349	Computer	182.8	Computer	166.4	Building Blocks	199.7	Building Blocks	116	Building Blocks	912.8	Building Blocks	99.5	Building Blocks
82.8	Building Blocks	166.2	Computer	83.1	Computer	431.3	Building Blocks	99.6	Building Area	265.2	Building Blocks	448	Building Area	99.6	Building Blocks
132.9	Building Blocks	730.3	Computer	265.5	Building Blocks	116.1	Computer	282.1	Building Area	82.7	Building Area	83.1	Building Area	199.1	Building Blocks
132.6	Building Blocks	133.1	Building Blocks	299.2	Building Blocks	298.9	Computer	514.5	Building Area	116.6	Building Area	381.6	Building Area	249.1	Building Blocks
165.9	Building Blocks	116.2	Building Blocks	132.7	Building Blocks	182.2	Computer	1543.2	Building Area	215.5	Building Area	149.5	Building Area	580.6	Building Blocks
265.7	Building Blocks	149.4	Building Blocks	132.9	Building Blocks	332	Building Area	132.8	Computer	165.4	Building Area	680.1	Building Area	116.5	Building Area
398.7	Building Blocks	182.3	Computer	116.2	Computer	66.5	Building Blocks	116.1	Computer	83.2	Computer	99.5	Building Area	132.9	Building Area
149.5	Building Blocks	182.7	Computer	216.1	Computer	132.7	Building Blocks	415.3	Computer	199.2	Computer	929.4	Building Area	1377.3	Building Area
547.9	Computer	182.1	Building Area	115.6	Building Blocks	199.3	Building Area	216	Computer	83.2	Computer	99.3	Computer	331.9	Building Area
182.5	Computer	83.2	Building Area	132.8	Building Blocks	182.6	Building Area	215.6	Computer	99.5	Computer	99.2	Computer	232	Building Area
232.7	Computer	165.9	Building Area	265.2	Building Blocks	82.7	Building Area	995.7	Building Blocks	132.8	Computer	199	Computer	597.2	Building Area
166.2	Building Area	232.2	Building Area	215.8	Building Blocks	132.8	Computer	232.1	Building Blocks	165.8	Building Blocks	132.6	Building Blocks	215.6	Building Area
431.4	Building Area	166	Computer	83	Building Blocks	265.8	Computer	415.1	Building Area	796.5	Building Blocks	182.5	Building Blocks	83	Computer
132.7	Computer	116.4	Computer	99.5	Building Area	266.1	Computer	547.7	Building Area	99.2	Building Area	132.8	Building Blocks	133	Computer
298.8	Computer	99.8	Computer	199.1	Building Area	132.7	Computer	116.2	Building Area	962	Building Area	182.7	Building Blocks	265.2	Computer
215.8	Computer	232.3	Computer	149.3	Building Area	215.8	Building Blocks	680.7	Building Area	697.6	Building Area	265.1	Building Area	348.3	Computer
249	Computer	232.6	Computer	116.1	Computer	431.1	Building Blocks	282.5	Building Area	182.5	Building Area	580.7	Building Area	116.2	Building Blocks
99.6	Building Area	116.5	Computer	166.1	Computer	265.9	Computer	199.4	Building Area	1427.4	Building Area	116	Computer	82.9	Building Blocks
116.2	Building Area	99.7	Building Blocks	647.5	Computer	199	Building Blocks	99.5	Computer	182.5	Building Area	232.5	Computer	282.1	Building Blocks
165.9	Building Area	182.7	Building Blocks	165.9	Computer	116.2	Building Blocks	547.7	Computer	547.6	Building Area	165.8	Computer	82.9	Building Area
315.3	Computer	116.3	Building Blocks	331.9	Computer	99.3	Building Area	282.5	Computer	414.8	Building Area	83.2	Computer	663.7	Building Area
248.9	Computer	132.8	Building Blocks	182.5	Computer	2588.9	Building Area	99.7	Computer	133.1	Building Area	116.2	Building Blocks	249.5	Building Area
166.4	Computer	232.1	Computer	862.8	Building Blocks	132.8	Building Area	132.6	Building Blocks	282.3	Building Area	165.9	Building Blocks	116.3	Computer
232.4	Computer	597.5	Building Blocks	862.9	Building Area	464.7	Computer	265.3	Building Blocks	813.4	Building Area	132.6	Building Blocks	215.7	Computer
780.3	Computer	199.4	Building Blocks	796.5	Building Area	198.6	Computer	729.9	Building Area	282.1	Computer	99.5	Building Blocks	348.6	Computer
83	Computer	996.3	Building Area	564.5	Building Area	215.7	Computer	249	Building Area	133.2	Computer	398.6	Building Blocks	100	Building Blocks
166.4	Building Area	995.5	Building Area	149.2	Building Area	82.9	Building Blocks	132.9	Computer	183.2	Computer	182.5	Building Blocks	116.2	Building Blocks
149.6	Building Blocks	83	Computer	514.6	Building Area	83.3	Building Blocks	249.2	Computer	298.6	Computer	166	Building Blocks	547.7	Building Blocks
